Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status,Image Src,Image Alt Text,SEO Title,SEO Description,Collection
african-rhapsody,African Rhapsody,"<p>Experience the cleansing power of African black soap made from plantain skins and cocoa pod. This all natural, nutrient-rich herbal bar is celebrated for its deep cleansing, exfoliating, and antibacterial properties. It is enriched with skin loving ingredients and infused with herbal essential oils. African Rhapsody balances oils, moisturizes skin with the wholesome goodness of Goat’s milk and cleanses without any harsh synthetic chemicals.</p><p><strong>Ingredients:</strong> Organic African Black Soap, Shea Butter, Goats Milk, Lemon Oil, Sweet Orange Oil, Sweet Almond Oil, Frankincense Oil, Eucalyptus Oil, Neroli Oil, Raw Honey, Vanilla Oil, Clove Oil, Cypress Oil, and Natural Preservative</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Signature Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,AFR-HER-BAR-06,189,shopify,0,deny,manual,18.99,true,true,draft,,African Rhapsody herbal soap by Royal Being,African Rhapsody | Royal Being Herbal Soap,"Experience the cleansing power of African black soap made from plantain skins and cocoa pod. This all natural, nutrient-rich herbal bar is celebrated for i",The Signature Collection
aloe-vera-wave,Aloe Vera Wave,"<p>Discover the healing essence of Aloe Vera Wave. This revitalizing herbal soap bar with skin- healing ingredients such as Aloe Vera Base and gel is infused with Aloe Vera Oil and Violet to bring about a calming, relaxing, body cleansing experience. Aloe vera is a versatile succulent packed with vitamins, minerals, and antioxidants. It is celebrated for its moisturizing effect, and a fan favorite for its soothing and healing qualities. Aloe Vera Wave transcends skincare, its clear purifying gel offers a variety of health and wellness perks for your skin.</p><p><strong>Ingredients:</strong> Aloe Vera Base, Aloe Vera Gel, Goat’s Milk, Aloe Vera Oil, Cucumber Oil, Violet Oil, Natural Coloring and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Common Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,ALO-HER-BAR-06,189,shopify,0,deny,manual,14.99,true,true,draft,,Aloe Vera Wave herbal soap by Royal Being,Aloe Vera Wave | Royal Being Herbal Soap,Discover the healing essence of Aloe Vera Wave. This revitalizing herbal soap bar with skin- healing ingredients such as Aloe Vera Base and gel is infused ,The Common Collection
anti-aging-herbal-soap,Anti-Aging Herbal Soap,"<p>Unwind time with our high-quality time capsule in a bar. Our Anti-Aging Herbal soap is formulated with age reversing butters that are powerful, skin loving, and infused with beneficial essential oils such as Frankincense Oil to target signs of aging. This nutrient-dense herbal soap produces very gentle lathers that are packed with lauric acid, oleic acid, and Vitamin A. Experience the effects of deep skin penetration and hydration, without clogging pores. Renew, and rejuvenate your skin with each cleanse.</p><p><strong>Ingredients:</strong> Goats Milk, Oat Milk Base, Honey Base, Kokum Butter, Murumuru Butter, Tucuma Butter, Cupuacu Butter, Ucuuba Butter, Coconut Oil, Frankincense Oil, Lotus Oil, Eucalyptus Oil, Lavender Oil, Chamomile Oil, Japanese Magnolia Oil, and Natural Preservative</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Common Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,AA-SH-ROS-BR-04,178,shopify,0,deny,manual,25.0,true,true,draft,,Anti-Aging Herbal Soap herbal soap by Royal Being,Anti-Aging Herbal Soap | Royal Being Herbal Soap,"Unwind time with our high-quality time capsule in a bar. Our Anti-Aging Herbal soap is formulated with age reversing butters that are powerful, skin loving",The Common Collection
aquatic-escape,Aquatic Escape,"<p>Elevate your skincare routine with Aquatic Escape made from skin loving moisturizing ingredients such as Goat’s Milk and Hawaiian Sandalwood. This all natural, nutrient-rich herbal bar is celebrated for its deep cleansing, natural scents, and earthy properties. Treat your skin and senses to the delightful scents of the ocean and beyond without any harsh synthetic chemicals.</p><p><strong>Ingredients:</strong> Goats Milk, Glycerin, Coconut Oil, Lime Oil, Lavender Oil, Violet Oil, East Indian Sandalwood, Hawaiian Sandalwood, Sweet Orange Oil, Grapefruit Oil, Eucalyptus Oil, Seaweed FO, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Signature Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,AQU-HER-BAR-04,206,shopify,0,deny,manual,25.0,true,true,draft,,Aquatic Escape herbal soap by Royal Being,Aquatic Escape | Royal Being Herbal Soap,Elevate your skincare routine with Aquatic Escape made from skin loving moisturizing ingredients such as Goat’s Milk and Hawaiian Sandalwood. This all natu,The Signature Collection
beef-tallow,Beef Tallow,"<p>Embrace nature with our Beef Tallow Herbal soap enriched with skin loving, moisturizing ingredients and beneficial essential oils. Our unique blend of grass fed, pasture raised Beef Tallow and Goat’s Milk, offer a nourishing blend that deeply moisturizes skin without a greasy feel. Our formulation exfoliates, hydrates, and renews your skin with every use.</p><p><strong>Ingredients:</strong> Pasture Raised, Grass Fed Beef Tallow, Goat’s Milk, Oatmeal Base, Honey, Coconut Oil, Olive Oil, Castor Oil, Tea tree Oil, Mint Oil, and Lavender Oil.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Common Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,BEE-HER-BAR-06,181,shopify,0,deny,manual,14.99,true,true,draft,,Beef Tallow herbal soap by Royal Being,Beef Tallow | Royal Being Herbal Soap,"Embrace nature with our Beef Tallow Herbal soap enriched with skin loving, moisturizing ingredients and beneficial essential oils. Our unique blend of gras",The Common Collection
blissful-lavender,Blissful Lavender,"<p>Invite a natural calming effect with our Blissful Lavender Herbal soap bar enriched with skin loving moisturizing ingredients and beneficial essential oils such as Goat’s Milk and Lavender Oil. Our unique blend of mindful ingredients relaxes the nervous system, a reason Lavender is widely celebrated. Its rich compounds of linalool and linalyl acetate, alongside its wonderful aroma, interacts with brain receptors to reduce stress, improve sleep quality, alleviate minor tension headaches, and offer a great boost to your mood. Experience the wonderful cleansing power of Blissful Lavender while enjoying hydration, restoration, and rejuvenation of your skin with each use.</p><p><strong>Ingredients:</strong> Goat’s Milk, Lavender Oil, Vitamin E Oil, Bergamot Oil, Mint Oil, Lavender Buds, Natural Coloring and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Common Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,B,178,shopify,0,deny,manual,14.99,true,true,draft,,Blissful Lavender herbal soap by Royal Being,Blissful Lavender | Royal Being Herbal Soap,Invite a natural calming effect with our Blissful Lavender Herbal soap bar enriched with skin loving moisturizing ingredients and beneficial essential oils,The Common Collection
calm,Calm,"<p>Embrace the natural essence of Oat Milk and Honey. Calm offers a luxurious blend of skin loving nourishing ingredients, infused with beneficial essential oils. This all natural, nutrient-rich herbal bar is celebrated for its calming essential oils, deep cleansing qualities, and its invigorating scents. Treat your skin and senses to the delightful notes of ocean breeze without any harsh synthetic chemicals.</p><p><strong>Ingredients:</strong> Oat Milk, Honey, Jojoba Oil, Lavender Oil, Geranium Oil, Ylang Ylang Oil, Chamomile Oil, Tea Tree Oil and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Common Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,CAL-HER-BAR-06,178,shopify,0,deny,manual,16.99,true,true,draft,,Calm herbal soap by Royal Being,Calm | Royal Being Herbal Soap,"Embrace the natural essence of Oat Milk and Honey. Calm offers a luxurious blend of skin loving nourishing ingredients, infused with beneficial essential o",The Common Collection
charcoal-moment,Charcoal Moment,"<p>Experience deep pore cleansing with our Charcoal Moment Herbal soap enriched with skin loving, moisturizing ingredients and beneficial essential oils. Our unique blend of Goat’s Milk, Activated Charcoal Powder, and Bentonite Clay, offer the gentlest form of exfoliating, while drawing out impurities from your skin. It is particularly beneficial for treating oily, acne-prone skin, and helps clear blemishes. Activated Charcoal also helps in preventing future blackheads by reducing sebum buildup, while effectively absorbing dirt, sweat, and makeup.</p><p><strong>Ingredients:</strong> Coconut Oil, Activated Charcoal Powder, Goat Milk, Glycerin, Shea Butter, Bentonite Clay, Tea tree Oil, Peppermint Oil, Eucalyptus Oil, and Lavender Oil.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Signature Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,CHA-HER-BAR-05,206,shopify,0,deny,manual,14.99,true,true,draft,,Charcoal Moment herbal soap by Royal Being,Charcoal Moment | Royal Being Herbal Soap,"Experience deep pore cleansing with our Charcoal Moment Herbal soap enriched with skin loving, moisturizing ingredients and beneficial essential oils. Our ",The Signature Collection
citrus-heaven,Citrus Heaven,"<p>MATCH YOURS EXACTLY Embrace the invigorating power of bright, zesty, and refreshing citrus. Citrus Heaven offers an exciting fusion of skin loving, moisturizing ingredients such as Goats Milk, Tangerine, and Sweet Orange, infused with beneficial essential oils. This delightful, fruity, all natural, nutrient- rich herbal bar is celebrated for its invigorating, vibrant, and crisp fragrance. Treat your skin to our luxurious blend of citrus notes which transports you to a sweet, tropical oasis with every use.</p><p><strong>Ingredients:</strong> Goats Milk, Lime Oil, Tangerine Oil, Sweet Orange Oil, Bergamot Oil, Lemongrass Oil, Grapefruit Oil, Lemon Oil, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Common Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,CIT-HER-BAR-06,206,shopify,0,deny,manual,15.99,true,true,draft,,Citrus Heaven herbal soap by Royal Being,Citrus Heaven | Royal Being Herbal Soap,"MATCH YOURS EXACTLY Embrace the invigorating power of bright, zesty, and refreshing citrus. Citrus Heaven offers an exciting fusion of skin loving, moistur",The Common Collection
detoxify,Detoxify,"<p>Experience the ultimate in skincare with our Detoxify herbal soap perfectly formulated with skin loving, moisturizing ingredients such as Goat’s Milk and pure, high-quality Bentonite Clay, that acts as a natural sponge that binds to positively charged toxins, heavy metals, and bacteria. Our Detoxify herbal soap helps treat acne, soothe skin conditions such as clogged pores, eczema, psoriasis, and absorbs excess oil without dryness or irritation. The benefit of combining Goat’s milk and Shea butter adds an extra layer of care and hydration to Detoxify, making it the perfect choice.</p><p><strong>Ingredients:</strong> Goats Milk, Shea Butter, Bentonite Clay, Frankincense Oil, Lemongrass Oil, Patchouli Oil, Grape Seed Oil, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Common Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,DET-HER-BAR-06,178,shopify,0,deny,manual,17.99,true,true,draft,,Detoxify herbal soap by Royal Being,Detoxify | Royal Being Herbal Soap,"Experience the ultimate in skincare with our Detoxify herbal soap perfectly formulated with skin loving, moisturizing ingredients such as Goat’s Milk and p",The Common Collection
