Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Gift Card,Variant Weight Unit,Collection
african-rhapsody,African Rhapsody,"<p>Experience the cleansing power of African black soap made from plantain skins and cocoa pod. This all natural, nutrient-rich herbal bar is celebrated for its deep cleansing, exfoliating, and antibacterial properties. It is enriched with skin loving ingredients and infused with herbal essential oils. African Rhapsody balances oils, moisturizes skin with the wholesome goodness of Goat’s milk and cleanses without any harsh synthetic chemicals.</p><p><strong>Ingredients:</strong> Organic African Black Soap, Shea Butter, Goats Milk, Lemon Oil, Sweet Orange Oil, Sweet Almond Oil, Frankincense Oil, Eucalyptus Oil, Neroli Oil, Raw Honey, Vanilla Oil, Clove Oil, Cypress Oil, and Natural Preservative</p><p><strong>Weight:</strong> 6.7 OZ</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Signature Collection, herbal-soap",TRUE,Title,Default Title,AFR-HER-BAR-06,189,shopify,0,deny,manual,18.99,TRUE,TRUE,active,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/african-rhapsody/01.jpg,1,African Rhapsody herbal soap by Royal Being,African Rhapsody | Royal Being,"Experience the cleansing power of African black soap made from plantain skins and cocoa pod. This all natural, nutrient-rich herbal bar is celebrated for its deep cleansing, exfoliating, and antibacterial properties. It is enriched with skin loving ingredients and infused with herbal essential oi",FALSE,g,The Signature Collection
african-rhapsody,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/african-rhapsody/02.jpg,2,African Rhapsody herbal soap by Royal Being,,,,,
aloe-vera-wave,Aloe Vera Wave,"<p>Discover the healing essence of Aloe Vera Wave. This revitalizing herbal soap bar with skin- healing ingredients such as Aloe Vera Base and gel is infused with Aloe Vera Oil and Violet to bring about a calming, relaxing, body cleansing experience. Aloe vera is a versatile succulent packed with vitamins, minerals, and antioxidants. It is celebrated for its moisturizing effect, and a fan favorite for its soothing and healing qualities. Aloe Vera Wave transcends skincare, its clear purifying gel offers a variety of health and wellness perks for your skin.</p><p><strong>Ingredients:</strong> Aloe Vera Base, Aloe Vera Gel, Goat’s Milk, Aloe Vera Oil, Cucumber Oil, Violet Oil, Natural Coloring and Natural Preservative.</p><p><strong>Weight:</strong> 6.7 OZ</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Common Collection, herbal-soap",TRUE,Title,Default Title,ALO-HER-BAR-06,189,shopify,0,deny,manual,14.99,TRUE,TRUE,active,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/aloe-vera-wave/01.jpg,1,Aloe Vera Wave herbal soap by Royal Being,Aloe Vera Wave | Royal Being,"Discover the healing essence of Aloe Vera Wave. This revitalizing herbal soap bar with skin- healing ingredients such as Aloe Vera Base and gel is infused with Aloe Vera Oil and Violet to bring about a calming, relaxing, body cleansing experience. Aloe vera is a versatile succulent packed with vi",FALSE,g,The Common Collection
aloe-vera-wave,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/aloe-vera-wave/02.jpg,2,Aloe Vera Wave herbal soap by Royal Being,,,,,
aloe-vera-wave,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/aloe-vera-wave/03.jpg,3,Aloe Vera Wave herbal soap by Royal Being,,,,,
aloe-vera-wave,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/aloe-vera-wave/04.jpg,4,Aloe Vera Wave herbal soap by Royal Being,,,,,
aloe-vera-wave,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/aloe-vera-wave/05.jpg,5,Aloe Vera Wave herbal soap by Royal Being,,,,,
anti-aging-herbal-soap,Anti-Aging Herbal Soap,"<p>Unwind time with our high-quality time capsule in a bar. Our Anti-Aging Herbal soap is formulated with age reversing butters that are powerful, skin loving, and infused with beneficial essential oils such as Frankincense Oil to target signs of aging. This nutrient-dense herbal soap produces very gentle lathers that are packed with lauric acid, oleic acid, and Vitamin A. Experience the effects of deep skin penetration and hydration, without clogging pores. Renew, and rejuvenate your skin with each cleanse.</p><p><strong>Ingredients:</strong> Goats Milk, Oat Milk Base, Honey Base, Kokum Butter, Murumuru Butter, Tucuma Butter, Cupuacu Butter, Ucuuba Butter, Coconut Oil, Frankincense Oil, Lotus Oil, Eucalyptus Oil, Lavender Oil, Chamomile Oil, Japanese Magnolia Oil, and Natural Preservative</p><p><strong>Weight:</strong> 6.3 OZ</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Common Collection, herbal-soap",TRUE,Title,Default Title,AA-SH-ROS-BR-04,178,shopify,0,deny,manual,25.0,TRUE,TRUE,active,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/anti-aging-herbal-soap/01.jpg,1,Anti-Aging Herbal Soap herbal soap by Royal Being,Anti-Aging Herbal Soap | Royal Being,"Unwind time with our high-quality time capsule in a bar. Our Anti-Aging Herbal soap is formulated with age reversing butters that are powerful, skin loving, and infused with beneficial essential oils such as Frankincense Oil to target signs of aging. This nutrient-dense herbal soap produces very ",FALSE,g,The Common Collection
anti-aging-herbal-soap,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/anti-aging-herbal-soap/02.jpg,2,Anti-Aging Herbal Soap herbal soap by Royal Being,,,,,
anti-aging-herbal-soap,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/anti-aging-herbal-soap/03.jpg,3,Anti-Aging Herbal Soap herbal soap by Royal Being,,,,,
anti-aging-herbal-soap,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/anti-aging-herbal-soap/04.jpg,4,Anti-Aging Herbal Soap herbal soap by Royal Being,,,,,
aquatic-escape,Aquatic Escape,"<p>Elevate your skincare routine with Aquatic Escape made from skin loving moisturizing ingredients such as Goat’s Milk and Hawaiian Sandalwood. This all natural, nutrient-rich herbal bar is celebrated for its deep cleansing, natural scents, and earthy properties. Treat your skin and senses to the delightful scents of the ocean and beyond without any harsh synthetic chemicals.</p><p><strong>Ingredients:</strong> Goats Milk, Glycerin, Coconut Oil, Lime Oil, Lavender Oil, Violet Oil, East Indian Sandalwood, Hawaiian Sandalwood, Sweet Orange Oil, Grapefruit Oil, Eucalyptus Oil, Seaweed FO, and Natural Preservative.</p><p><strong>Weight:</strong> 7.3 OZ</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Signature Collection, herbal-soap",TRUE,Title,Default Title,AQU-HER-BAR-04,206,shopify,0,deny,manual,25.0,TRUE,TRUE,active,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/aquatic-escape/01.jpg,1,Aquatic Escape herbal soap by Royal Being,Aquatic Escape | Royal Being,"Elevate your skincare routine with Aquatic Escape made from skin loving moisturizing ingredients such as Goat’s Milk and Hawaiian Sandalwood. This all natural, nutrient-rich herbal bar is celebrated for its deep cleansing, natural scents, and earthy properties. Treat your skin and senses to the d",FALSE,g,The Signature Collection
aquatic-escape,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/aquatic-escape/02.jpg,2,Aquatic Escape herbal soap by Royal Being,,,,,
aquatic-escape,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/aquatic-escape/03.jpg,3,Aquatic Escape herbal soap by Royal Being,,,,,
aquatic-escape,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/aquatic-escape/04.jpg,4,Aquatic Escape herbal soap by Royal Being,,,,,
beef-tallow,Beef Tallow,"<p>Embrace nature with our Beef Tallow Herbal soap enriched with skin loving, moisturizing ingredients and beneficial essential oils. Our unique blend of grass fed, pasture raised Beef Tallow and Goat’s Milk, offer a nourishing blend that deeply moisturizes skin without a greasy feel. Our formulation exfoliates, hydrates, and renews your skin with every use.</p><p><strong>Ingredients:</strong> Pasture Raised, Grass Fed Beef Tallow, Goat’s Milk, Oatmeal Base, Honey, Coconut Oil, Olive Oil, Castor Oil, Tea tree Oil, Mint Oil, and Lavender Oil.</p><p><strong>Weight:</strong> 6.39 OZ</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Common Collection, herbal-soap",TRUE,Title,Default Title,BEE-HER-BAR-06,181,shopify,0,deny,manual,14.99,TRUE,TRUE,active,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/beef-tallow/01.jpg,1,Beef Tallow herbal soap by Royal Being,Beef Tallow | Royal Being,"Embrace nature with our Beef Tallow Herbal soap enriched with skin loving, moisturizing ingredients and beneficial essential oils. Our unique blend of grass fed, pasture raised Beef Tallow and Goat’s Milk, offer a nourishing blend that deeply moisturizes skin without a greasy feel. Our formulatio",FALSE,g,The Common Collection
